"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","35,3","632523","17923","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","36,6","425473","11610","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","32,3","212305","6576","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Altersdurchschnitt","gesamt","42,1","3446939","81968","","","","Alterssumme - Hauptwohnsitzbevölkerung (gesamt)","Anzahl aller Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","34,4","414292","12035","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Altersdurchschnitt","Deutsche","44,5","1237505","27823","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Altersdurchschnitt","Deutsche","42,1","1077149","25560","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Altersdurchschnitt","Deutsche","41","1234696","30150","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","33,3","422120","12681","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","33,1","248946","7526","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Altersdurchschnitt","gesamt","41,9","2500935","59758","","","","Alterssumme - Hauptwohnsitzbevölkerung (gesamt)","Anzahl aller Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Altersdurchschnitt","Deutsche","46","1791020","38957","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Altersdurchschnitt","Deutsche","45,5","1703953","37436","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Altersdurchschnitt","Deutsche","43,2","1502186","34766","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Altersdurchschnitt","gesamt","41","1863994","45507","","","","Alterssumme - Hauptwohnsitzbevölkerung (gesamt)","Anzahl aller Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Altersdurchschnitt","gesamt","41,5","1826977","43974","","","","Alterssumme - Hauptwohnsitzbevölkerung (gesamt)","Anzahl aller Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Altersdurchschnitt","gesamt","42,7","2064709","48388","","","","Alterssumme - Hauptwohnsitzbevölkerung (gesamt)","Anzahl aller Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","33,5","672065","20054","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","33,5","307763","9194","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Altersdurchschnitt","gesamt","41,6","51965382","1247934","","","","Alterssumme - Hauptwohnsitzbevölkerung (gesamt)","Anzahl aller Einwohner mit Hauptwohnsitz","","","","2000","Gesamtstadt","#100","Stadt München"
